"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem194",4.75875140550363e-07,2.46208332575093,0.032,0.01,0.0119392314012681
"Gm10785",4.77220732809217e-07,-0.642372349863835,0.056,0.102,0.0119729909654504
"6720489N17Rik",4.78854687439106e-07,1.26455284819608,0.025,0.062,0.0120139852531597
"Pcp4l1",4.81778180902883e-07,-0.951654089510517,0.643,0.586,0.0120873327806724
"Gtpbp4",4.86236485613661e-07,0.279564796864424,0.171,0.246,0.0121991871875612
"Dleu2",4.87365922080026e-07,1.44050042481565,0.215,0.159,0.0122275236190658
"D630044L22Rik",4.95728714828912e-07,-2.45943837591779,0.003,0.024,0.0124373377263426
"Mylip",4.95934551152693e-07,1.40719458292867,0.325,0.276,0.0124425019538699
"Nelfa",4.96280019208702e-07,-0.28215970512616,0.133,0.198,0.0124511694019271
"Zfp866",4.99162353550013e-07,1.71657782764168,0.141,0.091,0.0125234842882163
"Nudt22",5.03691872545939e-07,-0.436423659645272,0.058,0.107,0.0126371253903051
"Rp2h",5.05616647172417e-07,1.75071163847933,0.043,0.016,0.0126854160609088
"1700110I01Rik",5.07157886317439e-07,-1.2118327165919,0.004,0.027,0.0127240842098182
"Chodl",5.07925757775166e-07,-1.77406307179901,0.008,0.034,0.0127433493368211
"Rnf207",5.08458231992431e-07,-0.981378846689694,0.014,0.044,0.0127567085824581
"Pdgfrl",5.08817678673664e-07,-0.95353241826507,0.127,0.187,0.0127657267402435
"Timm23",5.10328470207817e-07,-1.21519469636503,0.159,0.212,0.0128036309890439
"Nipbl",5.11512265032898e-07,0.962332187857175,0.457,0.386,0.0128333312174104
"Scamp2",5.18670938375407e-07,1.10191856086124,0.311,0.256,0.0130129351729006
"Sec24a",5.22867333418961e-07,-0.246587569413049,0.119,0.182,0.0131182185281483
"Ppfibp1",5.26011185214956e-07,0.260501474607097,0.246,0.333,0.013197094625858
"Clip1",5.26043489759102e-07,0.9425990178525,0.387,0.322,0.0131979051145661
"Lypd1",5.26250977898548e-07,-4.39117602562542,0.013,0.042,0.0132031107844967
"Arhgef39",5.28530647819838e-07,-3.14065628704378,0.005,0.029,0.0132603054231519
"Septin4",5.28894431567927e-07,1.40497139107602,0.125,0.206,0.0132694323936077
"Rpsa-ps11",5.31391508720197e-07,-0.715865598166808,0.009,0.035,0.013332081562281
"Fam21",5.32300228300533e-07,1.05664673077622,0.137,0.086,0.0133548804278321
"Esyt1",5.33074011744645e-07,0.423700973525613,0.496,0.42,0.0133742938806614
"A630072M18Rik",5.33604655897649e-07,0.275250718765604,0.083,0.141,0.0133876072118161
"Fras1",5.36416421489806e-07,4.23995727292343,0.021,0.004,0.0134581515987578
"Sepw1",5.38630185976576e-07,-0.728170617297262,0.748,0.603,0.0135136927359663
"Itgb3bp",5.44411000169237e-07,-0.243695942226991,0.081,0.135,0.013658727583246
"Rabggtb",5.50495564907657e-07,0.284662606510182,0.189,0.272,0.0138113832279682
"Gpr56",5.51154336453848e-07,4.99024845160235,0.021,0.004,0.0138279111472906
"Gcgr",5.52152744864236e-07,-5.20632825355849,0.002,0.023,0.0138529602158988
"Abcg4",5.54973363492634e-07,-4.51906722494879,0.004,0.026,0.0139237267166667
"Soat2",5.58055670451607e-07,-1.2857915927041,0.005,0.029,0.0140010587159604
"Adamtsl4",5.59259440432248e-07,-0.533484011764474,0.141,0.208,0.0140312601010047
"Tnfaip3",5.59451949266503e-07,-0.782960241784699,0.026,0.062,0.0140360899551473
"Rbm14",5.63316729405103e-07,-0.316867907299786,0.111,0.175,0.0141330534240446
"5930430L01Rik",5.64305619180264e-07,1.46547434243886,0.142,0.091,0.0141578636796136
"Upf3a",5.66780068306298e-07,-0.20417629322692,0.124,0.189,0.0142199451337367
"Plgrkt",5.71449886406299e-07,-0.305777577884757,0.149,0.219,0.0143371062000476
"Lphn2",5.76855414048084e-07,1.07936230806219,0.086,0.046,0.0144727254830524
"Tbc1d32",5.77985305420273e-07,1.65174997264772,0.071,0.035,0.0145010733276892
